,wordform,fst_analyses
108,gimiinigoosiinaadog,"['miizh+VTA+Ind+Neg+Dub+XSubj+2SgObj', 'miizh+VTA+Ind+Neg+Dub+ExclSubj+2SgObj']"
109,gimawadisigoosiinaadog,"['mawadish+VTA+Ind+Neg+Dub+XSubj+2SgObj', 'mawadish+VTA+Ind+Neg+Dub+ExclSubj+2SgObj']"
110,nimikawaasiwaanaadogenag,"['mikaw+VTA+Ind+Neg+Dub+ExclSubj+3PlObvObj', 'mikaw+VTA+Ind+Neg+Dub+ExclSubj+3PlProxObj']"
111,niwaabamaasiwaanaadogenag,"['waabam+VTA+Ind+Neg+Dub+ExclSubj+3PlObvObj', 'waabam+VTA+Ind+Neg+Dub+ExclSubj+3PlProxObj']"
112,nimizhwaasiwaanaadogenag,"['mizhwi+VTA+Ind+Neg+Dub+ExclSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Dub+ExclSubj+3PlObvObj', 'mizhwi+VTA+Ind+Neg+Dub+ExclSubj+3PlProxObj', 'mizho+VTA+Ind+Neg+Dub+ExclSubj+3PlProxObj']"
113,nimiinaasiwaanaadogenag,"['miizh+VTA+Ind+Neg+Dub+ExclSubj+3PlObvObj', 'miizh+VTA+Ind+Neg+Dub+ExclSubj+3PlProxObj']"
114,nimawadisaasiwaanaadogenag,"['mawadish+VTA+Ind+Neg+Dub+ExclSubj+3PlObvObj', 'mawadish+VTA+Ind+Neg+Dub+ExclSubj+3PlProxObj']"
115,nimizhwaasiwaanaadogenan,"['mizhwi+VTA+Ind+Neg+Dub+ExclSubj+3SgObvObj', 'mizho+VTA+Ind+Neg+Dub+ExclSubj+3SgObvObj']"
116,nimizhwaasiwaanaadog,"['mizhwi+VTA+Ind+Neg+Dub+ExclSubj+3SgProxObj', 'mizho+VTA+Ind+Neg+Dub+ExclSubj+3SgProxObj']"
117,gimikawaasiwaanaadogenag,"['mikaw+VTA+Ind+Neg+Dub+InclSubj+3PlObvObj', 'mikaw+VTA+Ind+Neg+Dub+InclSubj+3PlProxObj']"
118,giwaabamaasiwaanaadogenag,"['waabam+VTA+Ind+Neg+Dub+InclSubj+3PlObvObj', 'waabam+VTA+Ind+Neg+Dub+InclSubj+3PlProxObj']"
119,gimizhwaasiwaanaadogenag,"['mizhwi+VTA+Ind+Neg+Dub+InclSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Dub+InclSubj+3PlObvObj', 'mizhwi+VTA+Ind+Neg+Dub+InclSubj+3PlProxObj', 'mizho+VTA+Ind+Neg+Dub+InclSubj+3PlProxObj']"
120,gimiinaasiwaanaadogenag,"['miizh+VTA+Ind+Neg+Dub+InclSubj+3PlObvObj', 'miizh+VTA+Ind+Neg+Dub+InclSubj+3PlProxObj']"
121,gimawadisaasiwaanaadogenag,"['mawadish+VTA+Ind+Neg+Dub+InclSubj+3PlObvObj', 'mawadish+VTA+Ind+Neg+Dub+InclSubj+3PlProxObj']"
122,gimizhwaasiwaanaadogenan,"['mizhwi+VTA+Ind+Neg+Dub+InclSubj+3SgObvObj', 'mizho+VTA+Ind+Neg+Dub+InclSubj+3SgObvObj']"
123,gimizhwaasiwaanaadog,"['mizhwi+VTA+Ind+Neg+Dub+InclSubj+3SgProxObj', 'mizho+VTA+Ind+Neg+Dub+InclSubj+3SgProxObj']"
124,nimizhogoosiinaadog,"['mizhwi+VTA+Ind+Neg+Dub+XSubj+1SgObj', 'mizho+VTA+Ind+Neg+Dub+XSubj+1SgObj']"
125,mizhomaasiidogena',"['mizhwi+VTA+Ind+Neg+Dub+XSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Dub+XSubj+3PlObvObj']"
126,mizhwaasiidogenag,"['mizhwi+VTA+Ind+Neg+Dub+XSubj+3PlProxObj', 'mizho+VTA+Ind+Neg+Dub+XSubj+3PlProxObj']"
127,mikawimaasiidogenan,"['mikaw+VTA+Ind+Neg+Dub+XSubj+3SgObvObj', 'mikaw+VTA+Ind+Neg+Dub+XSubj+3PlObvObj']"
128,waabamimaasiidogenan,"['waabam+VTA+Ind+Neg+Dub+XSubj+3SgObvObj', 'waabam+VTA+Ind+Neg+Dub+XSubj+3PlObvObj']"
129,mizhomaasiidogenan,"['mizhwi+VTA+Ind+Neg+Dub+XSubj+3SgObvObj', 'mizho+VTA+Ind+Neg+Dub+XSubj+3SgObvObj', 'mizhwi+VTA+Ind+Neg+Dub+XSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Dub+XSubj+3PlObvObj']"
130,miinimaasiidogenan,"['miizh+VTA+Ind+Neg+Dub+XSubj+3SgObvObj', 'miizh+VTA+Ind+Neg+Dub+XSubj+3PlObvObj']"
131,mawadisimaasiidogenan,"['mawadish+VTA+Ind+Neg+Dub+XSubj+3SgObvObj', 'mawadish+VTA+Ind+Neg+Dub+XSubj+3PlObvObj']"
132,mizhwaasiidog,"['mizhwi+VTA+Ind+Neg+Dub+XSubj+3SgProxObj', 'mizho+VTA+Ind+Neg+Dub+XSubj+3SgProxObj']"
133,nimizhogoosiiminaadog,"['mizhwi+VTA+Ind+Neg+Dub+XSubj+ExclObj', 'mizho+VTA+Ind+Neg+Dub+XSubj+ExclObj']"
